ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,label,Account_Age_Months,Active_Months,DAYS_EMPLOYED_CLEAN,Age_Clean,Asset_Score,Adult_Income_Efficiency
5008804,M,Y,Y,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,,2.0,0,15,16,12.435318275154003,32.86789869952088,2,213750.0
5008805,M,Y,Y,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,,2.0,1,14,15,12.435318275154003,32.86789869952088,2,213750.0
5008806,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-21474,-1134,1,0,0,0,Security staff,2.0,0,29,30,3.1047227926078027,58.79260780287474,2,56250.0
5008810,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1.0,0,26,27,8.353182751540041,52.32032854209446,1,270000.0
5008811,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1.0,0,38,39,8.353182751540041,52.32032854209446,1,270000.0
5008830,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2.0,0,31,32,4.0219028062970565,27.463381245722108,1,78750.0
5008831,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2.0,1,19,20,4.0219028062970565,27.463381245722108,1,78750.0
5008832,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2.0,0,34,35,4.0219028062970565,27.463381245722108,1,78750.0
5008834,F,N,Y,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,,2.0,0,44,45,4.435318275154004,30.028747433264886,1,112500.0
5008839,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3.0,0,13,14,5.519507186858316,32.421629021218344,1,202500.0
5008840,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3.0,0,55,56,5.519507186858316,32.421629021218344,1,202500.0
5008843,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3.0,0,29,30,5.519507186858316,32.421629021218344,1,202500.0
5008855,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,0,28,29,8.687200547570157,43.15126625598905,2,67500.0
5008873,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,0,21,22,4.854209445585216,33.97946611909651,1,63000.0
5008874,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,0,45,46,4.854209445585216,33.97946611909651,1,63000.0
5008875,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,0,39,40,4.854209445585216,33.97946611909651,1,63000.0
5008876,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,0,43,44,4.854209445585216,33.97946611909651,1,63000.0
5008879,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,0,21,22,4.854209445585216,33.97946611909651,1,63000.0
5008881,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,0,19,20,4.854209445585216,33.97946611909651,1,63000.0
5008884,F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20186,365243,1,0,0,0,,1.0,0,40,41,0.0,55.266255989048595,1,315000.0
5008893,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,0,36,37,8.854209445585216,42.48870636550308,1,297000.0
5008894,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,0,36,37,8.854209445585216,42.48870636550308,1,297000.0
5008895,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,0,34,35,8.854209445585216,42.48870636550308,1,297000.0
5008912,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,1,20,21,8.854209445585216,42.48870636550308,1,297000.0
5008914,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,1,18,19,8.854209445585216,42.48870636550308,1,297000.0
5008916,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,1,17,18,8.854209445585216,42.48870636550308,1,297000.0
5008918,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,1,16,17,8.854209445585216,42.48870636550308,1,297000.0
5008919,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,0,15,16,8.854209445585216,42.48870636550308,1,297000.0
5008920,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,1,15,16,8.854209445585216,42.48870636550308,1,297000.0
5008921,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,0,13,14,8.854209445585216,42.48870636550308,1,297000.0
5008922,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,1,13,14,8.854209445585216,42.48870636550308,1,297000.0
5008923,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,0,12,13,8.854209445585216,42.48870636550308,1,297000.0
5008924,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,0,12,13,8.854209445585216,42.48870636550308,1,297000.0
5008925,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,0,12,13,8.854209445585216,42.48870636550308,1,297000.0
5008951,M,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,1,0,0,0,,3.0,0,45,46,7.687885010266941,28.257357973990416,1,112500.0
5008956,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2.0,0,39,40,4.687200547570157,48.69267624914442,2,67500.0
5008959,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2.0,0,15,16,4.687200547570157,48.69267624914442,2,67500.0
5008960,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2.0,0,28,29,4.687200547570157,48.69267624914442,2,67500.0
5008962,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2.0,0,26,27,4.687200547570157,48.69267624914442,2,67500.0
5008963,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2.0,0,38,39,4.687200547570157,48.69267624914442,2,67500.0
5008966,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,1,0,1,0,,2.0,1,15,16,2.433949349760438,43.879534565366185,1,78750.0
5008979,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,2.0,0,37,38,0.0,61.106091718001366,1,56250.0
5008984,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,2.0,0,58,59,6.5188227241615335,57.14989733059548,2,56250.0
5009000,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-9927,-828,1,0,0,0,Drivers,2.0,0,22,23,2.2669404517453797,27.17864476386037,2,78750.0
5009016,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,4.0,0,24,25,8.5201916495551,42.28336755646817,1,108000.0
5009023,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,4.0,0,35,36,8.5201916495551,42.28336755646817,1,108000.0
5009025,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,4.0,0,33,34,8.5201916495551,42.28336755646817,1,108000.0
5009029,F,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14450,-2777,1,0,0,0,Laborers,2.0,0,15,16,7.603011635865846,39.56194387405886,2,112500.0
5009031,F,N,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10554,-1194,1,0,0,0,Accountants,1.0,0,13,14,3.268993839835729,28.895277207392198,1,315000.0
5009032,F,N,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10554,-1194,1,0,0,0,Accountants,1.0,0,13,14,3.268993839835729,28.895277207392198,1,315000.0
5009036,F,N,N,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682,365243,1,0,0,0,,2.0,0,18,19,0.0,51.148528405201915,0,127575.0
5009052,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,-10997,-2289,1,0,0,1,Core staff,4.0,0,47,48,6.26694045174538,30.10814510609172,1,101250.0
5009063,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,1,0,0,0,Sales staff,2.0,0,27,28,5.686516084873374,28.61054072553046,2,157500.0
5009068,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,1,0,0,0,Sales staff,2.0,0,22,23,5.686516084873374,28.61054072553046,2,157500.0
5009069,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,1,0,0,0,Sales staff,2.0,0,35,36,5.686516084873374,28.61054072553046,2,157500.0
5009071,F,Y,Y,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,-10264,-3173,1,0,1,1,High skill tech staff,2.0,0,20,21,8.687200547570157,28.10130047912389,2,135000.0
5009078,M,N,Y,1,180000.0,Working,Secondary / secondary special,Married,With parents,-14122,-1286,1,0,0,0,Drivers,3.0,0,30,31,3.5208761122518824,38.66392881587954,1,90000.0
5009079,F,N,Y,0,112500.0,Working,Higher education,Civil marriage,House / apartment,-10064,-3173,1,0,0,1,Laborers,2.0,0,43,44,8.687200547570157,27.55373032169747,1,56250.0
5009080,F,N,Y,0,112500.0,Working,Higher education,Civil marriage,House / apartment,-10064,-3173,1,0,0,1,Laborers,2.0,1,15,16,8.687200547570157,27.55373032169747,1,56250.0
5009096,F,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13679,-4391,1,0,0,1,Accountants,3.0,0,24,25,12.021902806297057,37.451060917180016,1,135000.0
5009098,F,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13679,-4391,1,0,0,1,Accountants,3.0,0,17,18,12.021902806297057,37.451060917180016,1,135000.0
5009103,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,-12859,-4056,1,0,1,0,Drivers,4.0,0,38,39,11.104722792607802,35.20602327173169,2,78750.0
5112876,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,-12859,-4056,1,0,1,0,Drivers,4.0,0,25,26,11.104722792607802,35.20602327173169,2,78750.0
5009109,M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15321,-2747,1,0,0,0,Security staff,2.0,0,20,21,7.520876112251882,41.946611909650926,1,180000.0
5009117,F,N,N,0,157500.0,Commercial associate,Higher education,Separated,With parents,-15737,-432,1,0,0,0,,1.0,0,49,50,1.1827515400410678,43.08555783709788,0,157500.0
5009123,F,N,N,0,157500.0,Commercial associate,Higher education,Separated,With parents,-15737,-432,1,0,0,0,,1.0,0,43,44,1.1827515400410678,43.08555783709788,0,157500.0
5009125,F,N,N,0,157500.0,Commercial associate,Higher education,Separated,With parents,-15737,-432,1,0,0,0,,1.0,0,46,47,1.1827515400410678,43.08555783709788,0,157500.0
5009127,F,N,N,0,157500.0,Commercial associate,Higher education,Separated,With parents,-15737,-432,1,0,0,0,,1.0,0,22,23,1.1827515400410678,43.08555783709788,0,157500.0
5009130,F,N,N,0,157500.0,Commercial associate,Higher education,Separated,With parents,-15737,-432,1,0,0,0,,1.0,0,22,23,1.1827515400410678,43.08555783709788,0,157500.0
5009133,M,N,Y,0,382500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21673,365243,1,0,0,0,,1.0,0,16,17,0.0,59.337440109514034,1,382500.0
5009134,M,N,Y,0,382500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21673,365243,1,0,0,0,,1.0,0,16,17,0.0,59.337440109514034,1,382500.0
5009136,M,N,Y,0,382500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21673,365243,1,0,0,0,,1.0,0,15,16,0.0,59.337440109514034,1,382500.0
5009141,F,N,N,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9657,-1560,1,1,1,0,Managers,2.0,0,33,34,4.271047227926078,26.439425051334702,0,67500.0
5009147,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,-15825,-3720,1,1,1,0,Managers,2.0,0,12,13,10.184804928131417,43.3264887063655,1,157500.0
5009150,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,-15825,-3720,1,1,1,0,Managers,2.0,0,17,18,10.184804928131417,43.3264887063655,1,157500.0
5009151,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,1,0,0,0,Sales staff,2.0,0,29,30,7.942505133470226,53.59342915811088,0,90000.0
5009152,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,1,0,0,0,Sales staff,2.0,0,47,48,7.942505133470226,53.59342915811088,0,90000.0
5009154,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,1,0,0,0,Sales staff,2.0,0,28,29,7.942505133470226,53.59342915811088,0,90000.0
5009155,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,1,0,0,0,Sales staff,2.0,0,27,28,7.942505133470226,53.59342915811088,0,90000.0
5009156,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,1,0,0,0,Sales staff,2.0,0,17,18,7.942505133470226,53.59342915811088,0,90000.0
5009158,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,1,0,0,0,Sales staff,2.0,0,43,44,7.942505133470226,53.59342915811088,0,90000.0
5009159,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,1,0,0,0,Sales staff,2.0,0,14,15,7.942505133470226,53.59342915811088,0,90000.0
5009160,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,1,0,0,0,Sales staff,2.0,0,21,22,7.942505133470226,53.59342915811088,0,90000.0
